id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,,rac
20260322_152458_930650,33.80625,-0.0419,-0.0347,0.94,12.5,33.975,33.80625,33.58125,33.69375,-0.004991681,0,0.006655574,0.003327787,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152458_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152458_930650.jpg,,0.34
20260322_152459_180650,33.4125,-0.034,0.0212,0.61,8.6,33.3,33.6375,33.525,33.35625,0.003367003,-0.006734007,-0.003367003,0.001683502,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_180650.jpg,,0.34
20260322_152459_430650,33.1875,0.0206,0.0094,-0.02,11.2,33.13125,33.24375,33.4125,32.9625,0.001694915,-0.001694915,-0.006779661,0.006779661,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_430650.jpg,,0.34
20260322_152459_680650,32.9625,-0.0185,-0.0131,0.19,10.3,33.075,33.1875,33.46875,33.24375,-0.003412969,-0.006825939,-0.015358362,-0.008532423,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_680650.jpg,,0.34
20260322_152459_930650,32.85,0.0565,0.003,-0.52,9.7,33.075,33.01875,33.1875,33.075,-0.006849315,-0.005136986,-0.010273973,-0.006849315,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152459_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152459_930650.jpg,,0.34
20260322_152500_180650,32.9625,-0.0785,-0.0141,0.77,15.2,32.90625,33.13125,32.90625,33.075,0.001706485,-0.005119454,0.001706485,-0.003412969,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152500_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152500_180650.jpg,,0.34
20260322_152500_430650,33.13125,-0.0275,0.0099,1.55,17.7,32.9625,33.24375,33.13125,33.1875,0.005093379,-0.003395586,0,-0.001697793,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152500_430650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152500_430650.jpg,,0.34
20260322_152500_680650,33.13125,0.0041,0.0488,1.14,16.8,33.075,33.1875,33.3,33.3,0.001697793,-0.001697793,-0.005093379,-0.005093379,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152500_680650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152500_680650.jpg,,0.34
20260322_152500_930650,33.1875,-0.0451,0.0363,0.56,13.4,33.01875,33.1875,33.24375,33.4125,0.005084746,0,-0.001694915,-0.006779661,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152500_930650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152500_930650.jpg,,0.34
20260322_152501_180650,33.1875,-0.0126,-0.0081,1.86,18.8,33.075,33.3,33.13125,33.3,0.003389831,-0.003389831,0.001694915,-0.003389831,train/episode_4__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152501_180650.jpg,train/episode_4__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152501_180650.jpg,,0.34
