id,speed_kmh,ax_g,ay_g,yaw_rate_dps,steering_angle_deg,wheel_fl_kmh,wheel_fr_kmh,wheel_rl_kmh,wheel_rr_kmh,slip_fl,slip_fr,slip_rl,slip_rr,image_path,road_image_path,Unnamed: 16,rac,img,dyn,decision,feature
20260322_152622_001899,33.69375,-0.0334,0.0057,2.29,22.2,33.58125,33.8625,33.58125,33.91875,0.003338898,-0.005008347,0.003338898,-0.006677796,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_001899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_001899.jpg,,0.3,0.294654,nan,0.294654,nan
20260322_152622_001899,33.665625,-0.042124999999999996,0.0025,2.43,22.35,33.5390625,33.8203125,33.553124999999994,33.834375,0.0037604550000000002,-0.00459378125,0.0033416945,-0.005008347,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_001899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_001899.jpg,,0.3,0.294654,nan,0.294654,nan
20260322_152622_001899,33.6375,-0.05085,-0.0007000000000000001,2.5700000000000003,22.5,33.496875,33.778125,33.525,33.75,0.004182012000000001,-0.0041792155,0.003344491,-0.003338898,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_001899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_001899.jpg,,0.3,0.294654,nan,0.294654,nan
20260322_152622_001899,33.609375,-0.059575,-0.0039000000000000007,2.71,22.650000000000002,33.4546875,33.7359375,33.496874999999996,33.665625,0.004603569,-0.00376464975,0.0033472875,-0.001669448999999999,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_001899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_001899.jpg,,0.3,0.294654,0.227078,0.283312,0.278836
20260322_152622_251899,33.58125,-0.0683,-0.0071,2.85,22.8,33.4125,33.69375,33.46875,33.58125,0.005025126,-0.003350084,0.003350084,0.0,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_251899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_251899.jpg,,0.3,0.276112,0.227744,0.273396,0.276332
20260322_152622_251899,33.496874999999996,-0.065,-0.0074,2.895,22.775000000000002,33.3421875,33.6375,33.370312500000004,33.5109375,0.00461486825,-0.0042046105,0.0037815985,-0.0004230117499999998,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_251899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_251899.jpg,,0.3,0.276112,0.228290,0.266861,0.276279
20260322_152622_251899,33.412499999999994,-0.0617,-0.0077,2.94,22.75,33.271875,33.58125,33.271875,33.440625,0.0042046105,-0.005059137000000001,0.004213113,-0.0008460235000000001,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_251899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_251899.jpg,,0.3,0.276112,0.228436,0.262592,0.276330
20260322_152622_251899,33.328125,-0.0584,-0.008,2.985,22.724999999999998,33.2015625,33.525,33.1734375,33.3703125,0.0037943527500000004,-0.005913663500000001,0.0046446275,-0.0012690352499999998,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_251899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_251899.jpg,,0.3,0.276112,0.228466,0.259863,0.276544
20260322_152622_501899,33.24375,-0.0551,-0.0083,3.03,22.7,33.13125,33.46875,33.075,33.3,0.003384095,-0.00676819,0.005076142,-0.001692047,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_501899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_501899.jpg,,0.3,0.266218,0.230179,0.256736,0.281114
20260322_152622_501899,33.1875,-0.060625000000000005,-0.019174999999999998,2.9575,22.55,33.0609375,33.3703125,33.1171875,33.3,0.0038157545000000004,-0.005502037,0.002103529,-0.0033985072499999997,train/episode_1__pi05_annotations_snow_clean/images/ZED_LEFT/ZED_LEFT_20260322_152622_501899.jpg,train/episode_1__pi05_annotations_snow_clean/images/road_img/ZED_LEFT_20260322_152622_501899.jpg,,0.3,0.266218,0.228509,0.254418,0.281304
